qqr_latin	qqr_kirill	ruscha
qawasatlı	қаўасатлы	тревожный, вну
qawasatlıq	қаўасатлық	тревога; опас
qawasatshı	қаўасатшы	раем ростраийте.пь
wasatshı	ўасатшы	адам смутьян
qawasatshılıq	қаўасатшылық	тревожное со
qawasha	қаўаша	разе, хлопчатник
qawashalıq	қаўашалық	поле, засеянное
qawsa-	қаўса-	I) рассыхаться (напр
qawsat-	қаўсат-	понуд. - от қаўса- - 1) способствовать рассыханию
qawsatıw	қаўсатыў	и. д. - от қаўсат- - 1) способствование рассыханию
qawsaw	қаўсаў	и. д. - от қаўса
qawsır-	қаўсыр-	1) закрывать; қапыны қаўсыр закрой дверь; 2) скла
qıs-	қыс-	обняв, прижать к своёй
qawsırma	қаўсырма	способный закры - ваться, запахиваться; способ
qawsırmalı	қаўсырмалы	закрывающий - ся, запахивающийся; складной
qawsırt-	қаўсырт-	п онуд. от қаўсырзаставить закрывать что-л
qawsırttır-	қаўсырттыр-	п онуд. от қаў
qawsırıl-	қаўсырыл-	ст - рад, от қаўсыр
qawsırın-	қаўсырын-	возвр. от қаўсыр
qawızla-	қаўызла-	1) очищать зерно от
qawızlıq	қаўызлық	шелуха - проса
qawım	қаўым	уст . община; мешит
sarǵayıp	сарғайып	пискен қаўындай как
qawın-qurt	қаўын-қурт	сушеная двшя
qawık-pawın	қаўык-паўын	собир. бахчевые
qawınshı	қаўыншы	продавец - дынь, че
qawıs	қаўыс	1) аст р. Стрелец; 2) уст
qawıs-	қаўыс-	соединяться, сходиться
qawısıw	қаўысыў	и. д. - от қаўыс
qash-	қаш-	1) бегать, сбегать, убе
qashıp	қашып	жур- быть в - бегах, скры
súyek	сүйек	қалған дене кожа да - кости
qasha-	қаша-	прорубать, пробивать
qashaǵak	қашағак	тот, кто так и норовйт убежать (гл. обр. о лош ади);
qashaǵan	қашаған	бийе норовйстая кобы
qashaq	қашақ	см. қашаған
qashanǵı	қашанғы	давнйшний
qashanda	қашанда	1) когда-нибудь; қа
qashaknan	қашакнан	см. қашак
qashar	қашар	тёлка-однолетка; не
qasharmak	қашармак	1) исходный пункт
qasharman	қашарман	болады оий услови
qashat-	қашат-	п онуд. от қаша- за
qashattır-	қашаттыр-	п онуд. - от қашат
qashaw	қашаў	1) и. д. от қаша-;
qashawla-	қашаўла-	м ногокр. от қаша
qashqın	қашқын	беглец; беженец; эми
qashqıklıq	қашқыклық	бегство; эмигра
qashtır-	қаштыр-	понуд. - от қаш-; -0>
qashı	қашы	дамба {о х р а н я ю щ а я у с а д ь
qashıq	қашық	даль; / далёкий, отда
shıq	шық	жерлерге келип жеткенбиз
qashıqla-	қашықла-	1) удаляться, от
qashıqlaw	қашықлаў	и. д. - от қашықла- - 1) удаление, отдаление; 2) избе
qashıqlıq	қашықлық	дальность, отда
qashıla-	қашыла-	строить - дамбу
qashılas-	қашылас-	взаим н. отқаш ы ластрбить дамбу вместе с - кем -л
qashılat-	қашылат-	понуд. - от қашылазаставить, приказать строить
qashılaw	қашылаў	и. д. от қашыластройтельство - дамбы
qashır	қашыр	мул, лошак
qashır-	қашыр-	п онуд. - от қаш-1) дать
tuyǵının	туйғынын	қашырды он упустйл
qashırdı	қашырды	он оттолкнул всех
qashır-qushır	қашыр-қушыр	звукоп од раж а
qashırla-	қашырла-	см. қышырла
qashıw	қашыў	и. д. - от қаш- - 1) бега
qashıwshı	қашыўшы	см. қашқын
qayaz	қаяз	усач - туркестанский
qayaq	қаяқ	разг. какая - сторона?;
qayaqqa	қаяққа	куда?; в какую сторону?;
qábir	қәбир	могйла
qede	қэде	1) обычай; ер елее де
qáde	қәде	өлмес погов. герой умирает
qádeli	қәдели	традиционный
qádem	қәдем	1) шаг; қәдем ур- ша
QÁDIK	ҚӘДИК	подозрение; сомнение;
qáwpim	қәўпим	зор я опасаюсь, что меня
QÁDIKLI	ҚӘДИКЛИ	подозрительный; сом
MDIM-QEDIM	МДИМ-ҚЭДИМ	заманда в давно
QÁDIMGI	ҚӘДИМГИ	1) см. мдим; 2) обык
kórgendegideymen	көргендегидеймен	я - таков, какйм ты меня вйдишь обычно;
qálbir	қәлбир	решето, сйто
qálbirle-	қәлбирле-	просеивать через
qelbirlew	қэлбирлеў	и . д. от қәлбирле
qálegenindi	қәлегенинди	ал бери, что тебе
júyrik	жүйрик	он мастер - пера, он
qálemles	қәлемлес	товарищ по перу, по
qálempir	қәлемпир	см. қалампир
qálenderlik	қәлендерлик	1) дёрвишский;
qeles-	қэлес-	взаимн. - от қәле- 1) же
qálew	қәлеў	и. д. от қэле
qelewshi	қэлеўши	1) желающий чего-л
QÁLIP	ҚӘЛИП	I) форма; колб.дка; бол
qálip	қәлип	форма д.)1Я ирнготовлёния
qollanılmaydı	қолланылмайды	и чйстом виде
qelpine	қэлпине	или қэлибине туседи он
qeliple-	қэлипле-	придавать чему-л. - форму
qáliplen-	қәлиплен-	страд, от қәлилле
qeliplendir-	қэлиплендир-	понуд. от қэ
qáliplent-	қәлиплент-	см. қәлиплендир
qáliples-	қәлиплес-	взаи.мн. от қәлипле
qeliplesiw	қэлиплесиў	и. д. - от қәлиплес
qeliplestir-	қэлиплестир-	понуд. - от қәлип
qáliplet-	қәлиплет-	понуд. от қәлипле
qálipletiw	қәлиплетиў	и. д. от қәлиплст
qáliplew	қәлиплеў	и. д. от қәлипле
qálpe	қәлпе	1 ) человёк, занимаю
qálpelik	қәлпелик	см. қәлпешилик
qálpeshilik	қәлпешилик	1 ) занятие чело
qándek	қәндек	яма, ров, канава (для
qándekli	қәндекли	с ямой, со рвом
qáne	қәне	1 ) мсжд. ну!; қәне, ба
qánekey	қәнекей	1) меж д. ну; иў-ка;
qánige	қәниге	специалист
qánigelen-	қәнигелен-	специа.мнзнроваться
qánigelendir-	қәнигелендир-	понуд. от қә
qánigeleniw	қәнигелениў	и. д. от қэнигелен- специализация
qánigeles	қәнигелес	чГоди одной спе
qánigeles-	қәнигелес-	специализировать
qánigelestir-	қәнигелестир-	понуд. от қәнигелес- заставить специализиро
qánigelik	қәнигелик	специальность; қә
qápelimde	қәпелимде	сразу, внезапно
qápes	қәпес	клетка {для пт и ц, ж и
qápesli	қәпесли	1) имеющий клетку;
qárejetle-	қәрежетле-	расходовать (день
